::ffff:209.17.97.90 - - [15/Feb/2020:00:18:21 +0000] "GET / HTTP/1.0" 200 90893 "-" "Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)"
::ffff:47.30.193.128 - - [15/Feb/2020:04:52:34 +0000] "GET /admin_assets/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 404 201 "http://13.58.125.166:3000/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.193.128 - - [15/Feb/2020:04:52:34 +0000] "GET /admin_assets/css/adminlte.min.css HTTP/1.1" 304 - "http://13.58.125.166:3000/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.193.128 - - [15/Feb/2020:04:52:34 +0000] "GET /admin_assets/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 - "http://13.58.125.166:3000/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.193.128 - - [15/Feb/2020:04:52:34 +0000] "GET /admin_assets/js/adminlte.min.js HTTP/1.1" 404 170 "http://13.58.125.166:3000/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.193.128 - - [15/Feb/2020:04:52:34 +0000] "GET /admin_assets/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 - "http://13.58.125.166:3000/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.193.128 - - [15/Feb/2020:04:52:34 +0000] "GET /admin_assets/plugins/jquery/jquery.min.js HTTP/1.1" 304 - "http://13.58.125.166:3000/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.193.128 - - [15/Feb/2020:04:52:35 +0000] "GET /admin_assets/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 - "http://13.58.125.166:3000/admin_assets/plugins/fontawesome-free/css/all.min.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.193.128 - - [15/Feb/2020:04:52:36 +0000] "GET /admin_assets/js/adminlte.min.js HTTP/1.1" 404 170 "http://13.58.125.166:3000/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.193.128 - - [15/Feb/2020:04:52:40 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://13.58.125.166:3000/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:71.6.199.23 - - [15/Feb/2020:06:44:39 +0000] "GET / HTTP/1.1" 200 90893 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:71.6.199.23 - - [15/Feb/2020:06:44:41 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "python-requests/2.19.1"
::ffff:94.23.24.37 - - [15/Feb/2020:06:44:48 +0000] "GET / HTTP/1.1" 200 90893 "-" "python-requests/2.22.0"
::ffff:108.35.204.94 - - [15/Feb/2020:15:01:08 +0000] "GET /admin/login HTTP/1.1" 200 3424 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1"
