::ffff:209.17.96.186 - - [28/Feb/2020:00:25:05 +0000] "GET / HTTP/1.0" 200 89550 "-" "Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)"
::ffff:223.71.167.163 - - [28/Feb/2020:10:02:45 +0000] "GET / HTTP/1.1" 200 89550 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0"
::ffff:47.30.134.223 - - [28/Feb/2020:14:30:12 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:30:12 +0000] "GET /web_assets/assets/css/slick-theme.css HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:30:12 +0000] "GET /web_assets/assets/css/bootstrap.min.css HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:30:12 +0000] "GET /web_assets/assets/css/slick.css HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:30:13 +0000] "GET /web_assets/assets/fonts/fonts.css HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:30:13 +0000] "GET /web_assets/assets/css/material-form.css HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:30:13 +0000] "GET /web_assets/assets/css/custom.css HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:30:13 +0000] "GET /web_assets/assets/css/responsive.css HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:30:13 +0000] "GET /web_assets/assets/img/logo.png HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:30:13 +0000] "GET /web_assets/assets/icons/web/ic_auto_insurance.png HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:30:13 +0000] "GET /foo HTTP/1.1" 404 142 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:30:13 +0000] "GET /web_assets/assets/icons/web/ic_auto_insurance_before.png HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:30:13 +0000] "GET /web_assets/assets/icons/web/ic_home_insurance.png HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
::ffff:47.30.134.223 - - [28/Feb/2020:14:30:13 +0000] "GET /web_assets/assets/icons/web/ic_home_insurance_before.png HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36"
