::ffff:127.0.0.1 - - [08/May/2020:00:30:31 +0000] "POST /GponForm/diag_Form?images/ HTTP/1.1" 404 158 "-" "Hello, World"
::ffff:127.0.0.1 - - [08/May/2020:00:48:28 +0000] "GET / HTTP/1.1" 200 92336 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [08/May/2020:00:48:29 +0000] "GET / HTTP/1.1" 200 92336 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [08/May/2020:00:48:29 +0000] "GET / HTTP/1.1" 200 92336 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [08/May/2020:00:48:29 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [08/May/2020:00:48:29 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [08/May/2020:00:48:29 +0000] "GET / HTTP/1.1" 200 92336 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [08/May/2020:00:48:29 +0000] "GET / HTTP/1.1" 200 92336 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [08/May/2020:00:48:29 +0000] "GET / HTTP/1.1" 200 92336 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [08/May/2020:00:48:29 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [08/May/2020:00:48:29 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [08/May/2020:01:27:07 +0000] "POST /api/jsonws/invoke HTTP/1.1" 404 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
