::ffff:127.0.0.1 - - [06/Aug/2020:00:10:00 +0000] "GET /echo.php HTTP/1.1" 404 147 "https://www.google.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:01:15:36 +0000] "GET /insurance/inner-resources5.html HTTP/1.1" 302 26 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [06/Aug/2020:01:15:37 +0000] "GET /insurance/home HTTP/1.1" 302 26 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [06/Aug/2020:01:15:38 +0000] "GET /insurance/home HTTP/1.1" 302 26 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [06/Aug/2020:01:15:39 +0000] "GET /insurance/home HTTP/1.1" 302 26 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:89.248.174.166 - - [06/Aug/2020:01:20:56 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [06/Aug/2020:01:30:05 +0000] "GET /.git/config HTTP/1.1" 404 150 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [06/Aug/2020:01:30:05 +0000] "GET /.env HTTP/1.1" 404 143 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [06/Aug/2020:01:30:05 +0000] "GET /v2/_catalog HTTP/1.1" 404 150 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [06/Aug/2020:01:30:05 +0000] "GET / HTTP/1.1" 200 60190 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [06/Aug/2020:01:40:25 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.92 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:127.0.0.1 - - [06/Aug/2020:01:50:39 +0000] "GET /resource/1 HTTP/1.1" 200 34152 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.92 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:127.0.0.1 - - [06/Aug/2020:01:55:01 +0000] "GET /referal HTTP/1.1" 200 38043 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [06/Aug/2020:02:29:35 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)"
::ffff:127.0.0.1 - - [06/Aug/2020:02:30:26 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:127.0.0.1 - - [06/Aug/2020:02:32:04 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
::ffff:173.230.153.184 - - [06/Aug/2020:03:06:03 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
::ffff:173.230.153.184 - - [06/Aug/2020:03:06:10 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
::ffff:173.230.153.184 - - [06/Aug/2020:03:06:10 +0000] "GET /web_assets/assets/img/favicon.png HTTP/1.1" 200 1955 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
::ffff:209.17.96.2 - - [06/Aug/2020:04:31:30 +0000] "GET / HTTP/1.0" 200 60190 "-" "Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)"
::ffff:127.0.0.1 - - [06/Aug/2020:04:45:09 +0000] "GET / HTTP/1.1" 200 60190 "-" "curl/7.29.0"
::ffff:127.0.0.1 - - [06/Aug/2020:04:56:13 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:04:56:13 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:04:56:13 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:04:56:13 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:04:56:13 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:04:56:14 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:04:56:14 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:04:56:14 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:04:56:14 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:04:56:14 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:05:21:34 +0000] "GET /solr/admin/info/system?wt=json HTTP/1.1" 404 161 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:05:25:43 +0000] "GET /manager/html HTTP/1.1" 404 151 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)"
::ffff:127.0.0.1 - - [06/Aug/2020:05:36:32 +0000] "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:05:42:02 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
